Groups;Case no.;Raw reads;Mapped reads;Mappability (%);Nonduplicated reads;Duplication rate (%);Sequence Depth;;
Pregant women carrying euploid fetuses;1;152.872.939 ;122.960.143 ;80,4 ;115.939.334 ;5,7 ;5,8 ;;
;2;131.088.905 ;98.718.701 ;75,3 ;73.286.374 ;25,8 ;3,7 ;;
;3;142.201.104 ;107.249.493 ;75,4 ;67.029.452 ;37,5 ;3,4 ;;
;4;186.789.383 ;145.254.194 ;77,8 ;116.164.587 ;20,0 ;5,8 ;;
;5;179.753.851 ;140.610.344 ;78,2 ;115.860.114 ;17,6 ;5,8 ;;
;6;141.102.611 ;105.071.140 ;74,5 ;63.340.770 ;39,7 ;3,2 ;;
;7;147.382.666 ;108.972.384 ;73,9 ;65.389.224 ;40,0 ;3,3 ;;
;8;152.714.034 ;120.208.090 ;78,7 ;105.380.449 ;12,3 ;5,3 ;;
;9;113.760.046 ;87.942.163 ;77,3 ;71.155.869 ;19,1 ;3,6 ;;
;10;146.962.683 ;108.829.387 ;74,1 ;56.639.794 ;48,0 ;2,8 ;;
;11;155.641.485 ;125.460.947 ;80,6 ;119.380.234 ;4,8 ;6,0 ;;
;12;160.565.961 ;130.639.639 ;81,4 ;126.815.444 ;2,9 ;6,3 ;;
;13;143.489.292 ;115.776.354 ;80,7 ;105.459.104 ;8,9 ;5,3 ;;
;14;156.059.015 ;126.646.709 ;81,2 ;122.357.946 ;3,4 ;6,1 ;;
;15;163.738.994 ;130.797.282 ;79,9 ;118.923.309 ;9,1 ;5,9 ;;
Pregant women carrying trisomy 21 fetuses;1;207.450.447 ;102.802.239 ;49,6 ;90.588.791 ;11,9 ;4,5 ;;
;2;212.971.878 ;119.534.165 ;56,1 ;102.208.492 ;14,5 ;5,1 ;;
;3;194.098.768 ;98.581.547 ;50,8 ;87.602.054 ;11,1 ;4,4 ;;
;4;216.070.103 ;122.886.110 ;56,9 ;116.945.841 ;4,8 ;5,8 ;;
;5;174.465.378 ;106.631.573 ;61,1 ;75.027.460 ;29,6 ;3,8 ;;
Organ transplant recipients;LTP1;87.162.575 ;64.201.436 ;73,7 ;62.310.466 ;3,0 ;3,2 ;;
;LTP2;102.071.655 ;73.329.149 ;71,8 ;71.970.658 ;1,9 ;3,7 ;;
;LTP3;81.332.416 ;58.869.025 ;72,4 ;57.166.389 ;2,9 ;2,9 ;;
;LTP4;72.670.331 ;54.563.050 ;75,1 ;53.493.357 ;2,0 ;2,7 ;;
;BMT1;121.174.338 ;97.291.012 ;80,3 ;96.476.153 ;0,8 ;4,9 ;;
;BMT2;99.754.528 ;78.585.631 ;78,8 ;77.293.636 ;1,6 ;3,9 ;;
;BMT3;87.675.700 ;66.725.179 ;76,1 ;64.993.510 ;2,6 ;3,3 ;;
HCC patients;HCC-1;183.208.857 ;149.626.481 ;81,7 ;118.353.426 ;20,9 ;3,0 ;;
;HCC-2;200.193.684 ;160.746.469 ;80,3 ;134.108.038 ;16,6 ;3,4 ;;
;HCC-3;170.716.448 ;137.260.507 ;80,4 ;106.701.398 ;22,3 ;2,7 ;;
;HCC-4;157.123.507 ;124.988.177 ;79,5 ;80.508.281 ;35,6 ;2,0 ;;
;HCC-5;197.193.431 ;154.811.402 ;78,5 ;104.389.826 ;32,6 ;2,6 ;;
;HCC-6;160.235.821 ;129.686.216 ;80,9 ;108.691.121 ;16,2 ;2,7 ;;
;HCC-7;194.402.134 ;155.465.046 ;80,0 ;84.866.990 ;45,4 ;2,1 ;;
;HCC-8;175.776.775 ;139.651.242 ;79,4 ;97.335.892 ;30,3 ;2,4 ;;
;HCC-9;170.003.416 ;135.265.696 ;79,6 ;114.514.323 ;15,3 ;2,9 ;;
;HCC-10;216.348.490 ;166.436.075 ;76,9 ;141.625.528 ;14,9 ;3,5 ;;
;HCC-11;179.496.062 ;142.453.807 ;79,4 ;122.615.917 ;13,9 ;3,1 ;;
;HCC-12;180.754.659 ;143.883.053 ;79,6 ;123.613.547 ;14,1 ;3,1 ;;
;HCC-13;160.489.200 ;114.965.828 ;71,6 ;99.132.580 ;13,8 ;2,5 ;;
;HCC-14;159.476.901 ;126.788.478 ;79,5 ;94.963.555 ;25,1 ;2,4 ;;
;HCC-15;162.509.987 ;128.157.545 ;78,9 ;104.658.008 ;18,3 ;2,6 ;;
;HCC-16;166.021.743 ;128.502.931 ;77,4 ;93.228.828 ;27,5 ;2,3 ;;
;HCC-17;127.450.588 ;99.340.619 ;77,9 ;85.569.282 ;13,9 ;2,1 ;;
;HCC-18;128.681.079 ;102.632.297 ;79,8 ;92.672.298 ;9,7 ;2,3 ;;
;HCC-19;180.997.325 ;145.319.878 ;80,3 ;122.489.348 ;15,7 ;3,1 ;;
;HCC-20;171.346.367 ;140.206.256 ;81,8 ;116.122.664 ;17,2 ;2,9 ;;
;HCC-21;145.708.246 ;109.755.892 ;75,3 ;93.920.112 ;14,4 ;2,3 ;;
;HCC-22;164.510.182 ;131.354.954 ;79,8 ;112.546.748 ;14,3 ;2,8 ;;
;HCC-23;144.497.935 ;113.055.922 ;78,2 ;94.961.663 ;16,0 ;2,4 ;;
;HCC-24;189.994.319 ;142.284.969 ;74,9 ;114.311.112 ;19,7 ;2,9 ;;
;HCC-25;137.871.045 ;109.599.375 ;79,5 ;99.068.869 ;9,6 ;2,5 ;;
;HCC-26;187.805.052 ;145.723.576 ;77,6 ;108.798.513 ;25,3 ;2,7 ;;
;HCC-27;196.128.614 ;148.018.621 ;75,5 ;117.373.019 ;20,7 ;2,9 ;;
;HCC-28;203.248.321 ;157.165.850 ;77,3 ;137.996.036 ;12,2 ;3,4 ;;
;HCC-29;191.895.021 ;143.424.050 ;74,7 ;126.378.570 ;11,9 ;3,2 ;;
;HCC-30;196.128.614 ;148.018.621 ;75,5 ;117.373.019 ;20,7 ;2,9 ;;
;HCC-31;203.248.321 ;157.165.850 ;77,3 ;137.996.036 ;12,2 ;3,4 ;;
;HCC-32;191.895.021 ;143.424.050 ;74,7 ;126.378.570 ;11,9 ;3,2 ;;
Healthy controls;1;192.531.152 ;144.092.083 ;74,8 ;109.868.604 ;23,8 ;2,7 ;;
;2;192.241.189 ;153.590.009 ;79,9 ;85.796.741 ;44,1 ;2,1 ;;
;3;164.810.818 ;128.707.989 ;78,1 ;100.079.252 ;22,2 ;2,5 ;;
;4;185.360.008 ;146.406.286 ;79,0 ;98.687.734 ;32,6 ;2,5 ;;
;5;173.102.684 ;139.662.668 ;80,7 ;78.954.815 ;43,5 ;2,0 ;;
;6;154.314.792 ;117.301.487 ;76,0 ;57.169.304 ;51,3 ;1,4 ;;
;7;225.512.421 ;165.337.830 ;73,3 ;97.447.016 ;41,1 ;2,4 ;;
;8;236.838.421 ;174.910.623 ;73,9 ;74.080.922 ;57,6 ;1,9 ;;
;9;169.813.693 ;134.097.600 ;79,0 ;98.179.126 ;26,8 ;2,5 ;;
;10;215.037.461 ;161.508.737 ;75,1 ;68.967.681 ;57,3 ;1,7 ;;
;11;163.894.162 ;126.172.835 ;77,0 ;86.571.379 ;31,4 ;2,2 ;;
;12;152.742.980 ;121.372.255 ;79,5 ;75.991.318 ;37,4 ;1,9 ;;
;13;151.999.190 ;113.577.704 ;74,7 ;75.833.684 ;33,2 ;1,9 ;;
;14;202.852.675 ;159.675.213 ;78,7 ;117.345.298 ;26,5 ;2,9 ;;
;15;141.474.977 ;112.673.941 ;79,6 ;72.672.242 ;35,5 ;1,8 ;;
;16;142.268.726 ;115.684.234 ;81,3 ;75.488.660 ;34,7 ;1,9 ;;
;17;152.891.582 ;121.139.929 ;79,2 ;67.600.448 ;44,2 ;1,7 ;;
;18;72.063.650 ;54.830.589 ;76,1 ;39.491.302 ;28,0 ;1,0 ;;
;19;102.624.178 ;75.839.416 ;73,9 ;39.343.211 ;48,1 ;1,0 ;;
;20;73.026.647 ;56.299.441 ;77,1 ;41.317.154 ;26,6 ;1,0 ;;
;21;98.392.731 ;71.652.951 ;72,8 ;55.930.990 ;21,9 ;1,4 ;;
;22;168.621.616 ;137.019.620 ;81,3 ;115.916.753 ;15,4 ;2,9 ;;
;23;75.634.959 ;58.746.138 ;77,7 ;46.764.110 ;20,4 ;1,2 ;;
;24;110.255.565 ;81.307.613 ;73,7 ;67.761.917 ;16,7 ;1,7 ;;
;25;102.260.394 ;72.287.645 ;70,7 ;62.608.240 ;13,4 ;1,6 ;;
;26;199.671.495 ;159.934.677 ;70,7 ;78.056.894 ;51,2 ;2,0 ;;
;27;205.140.024 ;166.513.358 ;70,7 ;131.431.962 ;21,1 ;3,3 ;;
;28;207.846.830 ;168.188.748 ;70,7 ;137.596.001 ;18,2 ;3,4 ;;
;29;191.182.941 ;154.980.939 ;70,7 ;122.902.907 ;20,7 ;3,1 ;;
;30;142.599.302 ;109.911.016 ;70,7 ;80.170.054 ;27,1 ;2,0 ;;
;31;181.310.671 ;145.090.367 ;70,7 ;93.229.176 ;35,7 ;2,3 ;;
;32;139.872.943 ;112.162.434 ;70,7 ;91.187.231 ;18,7 ;2,3 ;;
Lyphoma;1;254.566.135 ;194.950.282 ;76,6;119.968.665 ;38,5 ;6,0 ;;
Mixture experiments;1;101.445.648 ;76.666.158 ;75,6 ;76.459.398 ;0,3 ;3,8 ;;
;2;108.475.940 ;80.187.018 ;73,9 ;80.047.335 ;0,2 ;4,0 ;;
;3;114.137.766 ;60.740.718 ;53,2 ;60.572.625 ;0,3 ;3,0 ;;
;4;120.396.222 ;86.817.332 ;72,1 ;86.601.991 ;0,2 ;4,3 ;;
;5;124.350.588 ;85.638.849 ;68,9 ;85.400.268 ;0,3 ;4,3 ;;
;6;120.754.762 ;86.305.353 ;71,5 ;86.083.980 ;0,3 ;4,3 ;;
;7;113.716.565 ;85.381.130 ;75,1 ;85.209.853 ;0,2 ;4,3 ;;
;8;132.461.392 ;83.818.594 ;63,3 ;83.582.973 ;0,3 ;4,2 ;;
;9;120.105.956 ;82.796.668 ;68,9 ;82.606.925 ;0,2 ;4,1 ;;
;10;129.599.204 ;96.792.557 ;74,7 ;96.594.101 ;0,2 ;4,8 ;;
;11;136.331.455 ;77.755.735 ;57,0 ;77.534.690 ;0,3 ;3,9 ;;
;12;128.632.440 ;88.810.423 ;69,0 ;88.625.396 ;0,2 ;4,4 ;;
;13;139.040.725 ;87.647.334 ;63,0 ;87.421.950 ;0,3 ;4,4 ;;
;14;126.401.174 ;92.992.180 ;73,6 ;92.814.739 ;0,2 ;4,6 ;;
;15;136.649.129 ;77.972.472 ;57,1 ;77.759.131 ;0,3 ;3,9 ;;
;16;132.543.357 ;83.563.763 ;63,0 ;83.380.378 ;0,2 ;4,2 ;;
;17;131.970.362 ;75.932.756 ;57,5 ;75.743.519 ;0,2 ;3,8 ;;
;18;126.370.597 ;86.195.654 ;68,2 ;86.026.190 ;0,2 ;4,3 ;;